Pregunta;A;B;C;D;E;Respuesta;Imagen
El oxígeno es transportado en sangre principalmente por la hemoglobina dentro de los glóbulos rojos. Teniendo en cuenta los niveles de organización estructural, ¿a qué nieveles corresponden la hemoglobina, hematies, y sangre respectivamente?;Químico - celular - orgánico;Molecular - tisular - orgánico;Celular  - celular - tisular;Molecular - celular - tisular;Tisular - celular - molecular;Molecular - celular - tisular;No
Todo organismo cumple funciones vitales y dentro de las células se llevan a cabo una serie de mecanismos bioquímicos en los cuales se usa energía para mantener la homeostasis. Estos mecanismos bioquímicos forman parte ___ y es principalmente coordinada por el sistema ___.;del crecimiento - nervioso;del metabolismo - endocrino;de la reactividad - nervioso;del metabolismo - digestivo;del crecimiento - locomotor;del metabolismo - endocrino;No
La imagen corresponde a una resonancia magnética nuclear (RMN) de la cabeza, se muestra un corte de tipo ___, en donde se puede ver la cavidad ___, y este corte divide la estructura en dos partes: ___.;axial - craneal - superior e inferior;coronal - craneal - izqquierda y derecha;axial - abdominal - anterior y posterior;coronal - abdominal - anterior y posterior;sagital - torácica - superior e inferior;axial - craneal - superior e inferior;image1
En el organismo, los mecanismos de regulación de un proceso fisiológico que mantiene la normalidad de las variables se denominan: ___ y consta de 5 elementos, siendo el que procesa y controla la información denominado:;homeostasis - efector;hematosis - centro de control;osmosis - centro integrador;hematosis - centro integrador;homeostasis - centro de control;homeostasis - centro de control;No
Una persona que se está preparando para una maratón, sale a correr 20km a las 6am. Al terminar se siente mareada, está pálida, sudorosa y taquicáridca. Una prueba de glucosa en sangre muestra niveles en 55mg/dl (valor normal: 70-100mg/dl). Luego de descansar unos minutos, se sintió mejor y en un control posterior se encuentra niveles de glucosa de 75mg/dl. Esto se debe al mecanismo de regulación homeostática en donde la ___ estimuló la secreción de ___ por las células ___ del islote pancreático, promoviendo en el hígado la ___.;hipoglucemia - glucagón - beta - glucogenólisis;hiperglucemia - glucagón - gamma - glucogenólisis;hiperglucemia - insulina - beta - gluconeogénesis;hipoglucemia - glucagón - alfa - glucogenólisis;hipoglucemia - cortisol - alfa - gluconeogénesis;hipoglucemia - glucagón - alfa - glucogenólisis;No
Después de haber realizado actividad física, una persons presenta disminución de los niveles de O2 en sangre (hipoxemia), lo cual es captado por los ___ en los cuerpos carotideos y aórticos. Estos receptores envían el impulso nervioso hacia el ___ a través de una via aferente, el cual a su vez envía una orden al ___ para incrementar la frecuencia ventilatoria.;Quimiorreceptores - cerebro - músculo diafragma;Quimiorreceptores - bulbo raquídeo - músculo diafragma;Barorreceptores - mescénfalo - pleura parietal;Barorreceptores - cerebro - pulmón;Quimiorreceptores - bulbo raquídeo - bronquio;Quimiorreceptores - bulbo raquídeo - músculo diafragma;No
En todos los tejidos hay vasos sanguíneos que permiten el intercambio de sustancias. Estos vasos sanguíneos especializados en el intercambio de sustancias están formados por un epitelio:;Plano estratificado;Simple escamoso;Simple cilíndrico;Plano queratinizado;Glandular;Simple escamoso;No
La articulación del tobillo se relaciona con varios ligamentos y tendones, estos ligamentos y tendondes están formados por tejido conectivo de tipo ___. Los ligamentos permiten unión entre ___, mientras que los tendones permiten unir ___.;denso irregular - hueso y hueso - hueso y músculo;denso regular - hueso y músculo - hueso y hueso;denso irregular - hueso y músculo - hueso y hueso;laxo regular - hueso y hueso - hueso y músculo;denso regular - hueso y hueso - hueso y músculo;denso regular - hueso y hueso - hueso y músculo;No
El tubo digestivo tiene la función de la digestión, transporta y absorción de los nutrientes. La función de transporte está dada por dos capas tejido muscular ___ que son inervadas por el plexo ___, conformado por tejido de tipo ___.;liso - mientérico - nervioso;esquelético - mientérico - muscular;liso - submucoso - conectivo;esquelético - submucoso - nervioso;esquelético - muscular - conectivo;liso - mientérico - nervioso;No
El crecimiento longitudinal de los huesos se debe a la formación de hueso a partir de una estructura denominada ___, conformada por tejido ___ de tipo ___ que es reemplazado por matriz extracelular ósea.;metáfisis - cartilaginoso - fibroso;diáfisis - óseo - compacto;metáfisis - cartilaginoso - hialino;diáfisis - cartilaginoso - esponjoso;epífisis - óseo - esponjoso;metáfisis - cartilaginoso - hialino;No
El tejido nervioso está formado por diferentes células que ayudan a las neuronas para que cumplan sus funciones. La célula ___ forma la vaina de mielina de los nervios raquídeos y la célula ___ se encarga de proteger y nutrir a las neuronas mediante la barrera hematoencefálica.;ependimocito - de Schwann;de Schwann - microglia;oligodendrocito - satélite;de Schwann - astrocito;astrocito - de Schwann;de Schwann - astrocito;No
El siguiente esquema representa la homeostasis del calcio de un niño que tiene drásticos sus niveles de calcio en sangre ¿Cuál de las siguientes alternativas describe en orden los 5 elementos de la regulación homeoestática en estas circunstancias?;Hipocalcemia - células parafoliculares - células paratiroideas - PTH - osteoclastos - resorción ostea;Hipercalcemia - células C - células C - calcitonina - osteoblastos - reabsorción ósea;Hipercalcemia - células paratiroideas - células paratiroideas - PTH - osteoclastos - resorción ósea;Hipocalcemia - células paratiroideas - células paratiroideas - PTH - osteoclastos - resorción ósea;Hipercalcemia - células paratiroideas - células paratiroideas - PTH - osteoblastos - resorción ósea;Hipocalcemia - células paratiroideas - células paratiroideas - PTH - osteoclastos - resorción ósea;image2
